"id_day","x","y","id_month","datetime","behavior","species","id","group"
"002",706044.139530126,7481279.17846297,"Sep",2018-09-09 07:50:00,"Sleeping site","Unknown","SS01","Suzano"
"002",706054.426485211,7481305.34090616,"Sep",2018-09-09 08:15:00,"Frugivory","Syagrus romanzoffiana","10.0","Suzano"
"002",706013.402494912,7481252.05693491,"Sep",2018-09-09 09:45:00,"Frugivory","Syagrus romanzoffiana","12.0","Suzano"
"002",706073.930349529,7481151.93270186,"Sep",2018-09-09 11:25:00,"Frugivory","Syagrus romanzoffiana","13.0","Suzano"
"002",706067.760337466,7481150.79743621,"Sep",2018-09-09 11:40:00,"Frugivory","Syagrus romanzoffiana","f04_f","Suzano"
"002",706059.70561979,7481245.73457894,"Sep",2018-09-09 13:45:00,"Frugivory","Cordia sellowiana","14.0","Suzano"
"002",706064.073368646,7481249.00194293,"Sep",2018-09-09 14:00:00,"Frugivory","Myrciaria cuspidata","15.0","Suzano"
"002",706045.947190591,7481235.82955553,"Sep",2018-09-09 16:10:00,"Frugivory","Syagrus romanzoffiana","16.0","Suzano"
"002",706042.606336202,7481241.07557487,"Sep",2018-09-09 16:25:00,"Frugivory","Syagrus romanzoffiana","f05_f","Suzano"
"002",706010.209325079,7481231.2175501,"Sep",2018-09-09 16:45:00,"Frugivory","Trichilia catigua","9.0","Suzano"
"002",706029.363765906,7481242.49414321,"Sep",2018-09-09 17:00:00,"Sleeping site","Unknown","SS02","Suzano"
"003",706030.579034728,7481203.47328722,"Sep",2018-09-10 07:55:00,"Frugivory","Syagrus romanzoffiana","18.0","Suzano"
"003",706029.997308278,7481169.67632481,"Sep",2018-09-10 09:30:00,"Frugivory","Syagrus romanzoffiana","19.0","Suzano"
"003",706011.480962019,7481152.47285073,"Sep",2018-09-10 09:55:00,"Frugivory","Syagrus romanzoffiana","20.0","Suzano"
"003",706101.491188066,7481127.55624424,"Sep",2018-09-10 11:40:00,"Frugivory","Cordia sellowiana","21.0","Suzano"
"003",706102.621852225,7481137.34188304,"Sep",2018-09-10 11:55:00,"Frugivory","Philodendron spp.","22.0","Suzano"
"003",706138.496463782,7481194.27177808,"Sep",2018-09-10 13:25:00,"Frugivory","Pera glabrata","23.0","Suzano"
"003",706111.966766952,7481209.12760479,"Sep",2018-09-10 13:45:00,"Frugivory","Randia armata","24.0","Suzano"
"003",706105.676226527,7481205.90301433,"Sep",2018-09-10 13:55:00,"Frugivory","Syagrus romanzoffiana","25.0","Suzano"
"003",706039.211445498,7481288.61068935,"Sep",2018-09-10 15:35:00,"Frugivory","Syagrus romanzoffiana","27.0","Suzano"
"003",706047.669506346,7481312.26548813,"Sep",2018-09-10 16:00:00,"Frugivory","Syagrus romanzoffiana","28.0","Suzano"
"003",706008.648681181,7481396.62706462,"Sep",2018-09-10 17:25:00,"Sleeping site","Unknown","SS03","Suzano"
"004",706021.181744755,7481417.65050429,"Sep",2018-09-11 08:10:00,"Frugivory","Myrciaria cuspidata","29.0","Suzano"
"004",705954.039128576,7481447.02823028,"Sep",2018-09-11 11:15:00,"Frugivory","Myrsine umbellata","30.0","Suzano"
"004",705957.962124888,7481441.3891254,"Sep",2018-09-11 11:30:00,"Frugivory","Philodendron spp.","31.0","Suzano"
"004",705967.086390729,7481360.57097289,"Sep",2018-09-11 13:25:00,"Frugivory","Syagrus romanzoffiana","f08_f","Suzano"
"004",705961.968915434,7481357.74601475,"Sep",2018-09-11 13:30:00,"Frugivory","Syagrus romanzoffiana","32.0","Suzano"
"004",706034.129726075,7481370.73597069,"Sep",2018-09-11 15:55:00,"Frugivory","Syagrus romanzoffiana","33.0","Suzano"
"004",706041.722653145,7481368.49042798,"Sep",2018-09-11 16:00:00,"Frugivory","Syagrus romanzoffiana","33.0","Suzano"
"004",706047.110086779,7481374.17308426,"Sep",2018-09-11 16:05:00,"Frugivory","Syagrus romanzoffiana","34.0","Suzano"
"004",706043.870145939,7481377.82636618,"Sep",2018-09-11 16:15:00,"Frugivory","Syagrus romanzoffiana","35.0","Suzano"
